account_id,account_type,holder_name,bank,branch_city,latitude,longitude,kyc_completeness,account_age_days,opened_on,prior_fraud_flag
ACC-7E1F4AC50C,legit,Aryan Maharaj,PNB,Ahmedabad,22.91745,72.63668,0.74,1008,2023-11-27,False
ACC-0F76706FB1,legit,Udant Dewan,Union Bank,Mumbai,19.12376,72.98369,0.83,361,2025-09-04,False
ACC-C9EC862861,legit,Gagan Sami,SBI,Delhi,28.50409,77.13675,0.87,2470,2019-11-26,False
ACC-A7A8933842,legit,Ayushman Chander,Canara,Chennai,13.12321,80.28285,0.88,907,2024-03-07,False
ACC-F8D246D2D0,legit,Viraj Tiwari,BoB,Jalandhar,31.42581,75.64615,0.8,658,2024-11-11,False
ACC-9057966242,legit,Rushil Saini,HDFC,Bengaluru,12.89466,77.66581,0.81,423,2025-07-04,False
ACC-E73288F9DD,legit,Saumya Mall,SBI,Lucknow,26.94062,80.97423,0.92,3310,2017-08-08,False
ACC-742872BC2B,legit,Nathaniel Sami,IndusInd,Guwahati,26.0431,91.85033,0.79,327,2025-10-08,False
ACC-777B646391,legit,Arunima Dugal,PNB,Ahmedabad,23.05453,72.66916,0.91,2369,2020-03-06,False
ACC-B774B2D1BC,legit,Gayathri Chaudry,PNB,Delhi,28.65748,77.2828,0.96,331,2025-10-04,False
ACC-5CF210449D,legit,Lajita Chatterjee,ICICI,Patna,25.53409,85.17427,0.81,1499,2022-07-24,False
ACC-32FCC8C65C,legit,Hemangini Lalla,HDFC,Hyderabad,17.43099,78.54125,0.88,2804,2018-12-27,False
ACC-8762C82C0F,legit,Tripti Yadav,BoB,Bengaluru,12.98083,77.52563,0.78,1898,2021-06-20,False
ACC-FFAB625EFD,legit,Kritika Brar,Kotak,Nagpur,21.18364,79.10359,0.95,2809,2018-12-22,False
ACC-8F1BE8A8CB,legit,Janaki Handa,Kotak,Jalandhar,31.20598,75.66317,0.82,3302,2017-08-16,False
ACC-9E1489C0CB,legit,Chakradev Kari,Kotak,Mumbai,18.99789,72.99741,0.76,3594,2016-10-28,False
ACC-4E99782B8B,legit,Fariq Kaul,ICICI,Ranchi,23.31589,85.42164,0.78,1884,2021-07-04,False
ACC-1246A18253,legit,Lajita Mall,Union Bank,Hyderabad,17.45121,78.49723,0.83,3064,2018-04-11,False
ACC-98BF50FBA3,legit,Janya Gaba,IndusInd,Kolkata,22.54541,88.28804,0.85,571,2025-02-06,False
ACC-CF494D791D,legit,Isha Kadakia,ICICI,Jalandhar,31.2036,75.4707,0.94,2575,2019-08-13,False
ACC-832DB8563C,legit,Ekbal Garg,Canara,Patna,25.62016,85.10646,0.86,2445,2019-12-21,False
ACC-E03D1772D7,legit,Nihal Shere,HDFC,Guwahati,26.24201,91.60417,0.9,2957,2018-07-27,False
ACC-95F0624A85,legit,Anamika Kanda,HDFC,Guwahati,26.2123,91.80879,0.79,1398,2022-11-02,False
ACC-0C3C054753,legit,Daksh Karnik,Axis,Bengaluru,12.95909,77.71725,0.99,3592,2016-10-30,False
ACC-40E0FD9381,legit,Diya Rattan,Axis,Jalandhar,31.23915,75.68772,0.95,3570,2016-11-21,False
ACC-1BB80E9374,legit,Dominic Kakar,ICICI,Guwahati,26.17395,91.64237,0.86,3128,2018-02-06,False
